
,107
新闻出版,1
广播,1
影视,1
档案,1
智库,1
文物,1
物质,1
文化遗产,1
阅读,1
科学普及,1
均等化,1
市场监管,1
冬奥会,1
冬,1
筹办,1
群众体育,1
竞技,1
体育,1
体育产业,1
运动,1
快乐,1
体魄,1
身心健康,1
乐观,1
向上,1
充满生机,1
自治,3
社区,1
充分发挥,3
工会,1
共青团,1
妇联,1
群,1
团组织,1
公益,1
慈善事业,1
专业,1
社会工作,1
志愿,1
妇女,1
老人,1
合法权益,2
法治,2
宣传教育,1
信访工作,1
就地解决,1
诉求,1
平安,1
立体化,1
信息化,1
暴力,1
恐怖活动,1
依法惩治,1
黑恶势力,1
犯罪,2
盗窃,1
抢劫,1
诈骗,1
多发性,1
文明执法,1
全方位,1
安全感,1
人命关天,1
至上,1
地震,1
气象,1
测绘,1
地质,1
属地,1
遏制,2
生命财产,1
九,1
党的领导,1
权威,1
自觉,2
在思想上,1
上同,1
高度一致,1
效能,1
履职,1
工作人员,2
尊崇,1
敬畏,1
依法办事,1
科学决策,1
民主决策,1
听取,2
包括,1
批评,1
接受,4
同级,1
人大,1
常委会,1
监督,3
人民政协,1
民主监督,1
主动,2
舆论监督,1
工商联,1
无党派人士,1
人民政府,1
意愿,1
始终保持,1
廉洁,1
本色,1
党风廉政,1
一以贯之,1
行政监察,1
审计,1
惩治腐败,1
高压,1
聚焦,1
群众利益,1
不正之风,1
公务员,1
要持,1
廉守,1
正,1
干干净净,1
做事,1
勤勉,1
尽责,1
干事,2
巨大成就,1
广大干部,2
实干,5
出来,1
业绩,1
得,1
靠,1
干字,1
当头,1
真抓实干,1
埋头苦干,1
结合实际,1
创造性地,1
干,1
不能,2
简单,1
文件,2
纸上谈兵,1
光说不练,1
两个,2
大胆,1
探索,1
铆紧,1
层层,1
不折不扣,1
严厉,1
整肃,1
庸政懒,1
政怠政,1
容错,1
纠错,1
给,1
者,2
鼓劲,1
撑腰,1
动真,1
碰硬,1
同心协力,1
赢得,1
未来,1
民族区域,1
认真贯彻,1
民族团结,1
进步,1
创建活动,1
内蒙古自治区,1
70,1
庆祝,1
兴边,1
富民,1
少数民族,1
优秀,1
进程,3
和睦相处,1
和衷共济,1
中华民族,1
大家庭,1
幸福,1
安康,1
宗教,2
基本方针,1
宗教事务,1
宗教界,1
人士,1
信教,1
侨务,1
归侨,1
侨眷,1
独特,2
海内外,1
中华儿女,1
凝聚力,1
向心力,1
国防,4
军队,5
重大突破,1
革命化,1
正规化,1
以党,1
新形势下,1
强军,2
建军,1
治军,1
练兵,1
备战,1
国家主权,2
绝对,1
军委主席,1
负责制,1
海空,1
边防,1
管控,1
周密,1
反恐,1
维稳,1
维和,1
远海,1
护航,1
国防科技,2
后勤,1
动员,1
后备力量,1
国防建设,1
兼容,1
军民,1
深度,1
军政,1
军民团结,1
树根,1
深,1
枝繁,1
叶茂,1
准确,1
一国两制,2
港人治港,1
澳人治澳,1
方针,1
依照,1
宪法,1
基本法,1
香港,3
澳门,2
实践,1
动摇,1
走样,1
变形,1
全力支持,1
行政长官,1
施政,1
民主,2
港独,1
内地,1
港澳,2
粤港澳,1
大湾,1
始终,2
充满信心,1
对台,1
大政方针,1
九二,1
领土完整,1
两岸关系,1
台海,1
反对,2
台独,1
分裂,2
绝不允许,1
任何人,1
形式,2
名义,1
台湾,1
祖国,2
两岸,2
尤其,1
青年,1
大陆,1
要共担,1
民族大义,1
和平统一,1
幸福生活,1
美好,1
明天,1
政治经济,1
站,2
一边,2
公道,1
正义,1
建设者,1
贡献者,1
维护者,1
多边,1
权威性,1
朝着,1
互惠,1
框架,1
睦邻,1
互信,1
周边环境,1
执点,1
海外,1
致力,1
人类,1
命运,1
共同体,1
使命,1
重在,1
铸就,1
紧密,1
团结,1
周围,1
同心同德,1
开拓进取,1
努力完成,1
一百年,1
宏伟目标,1
富强,1
中华民族伟大复兴,1
不懈,1
